"climate_type","scenario","ClimateGroup","thresh_20_med","thresh_25_med","thresh_30_med","thresh_35_med","thresh_40_med","thresh_45_med","thresh_50_med","thresh_55_med","thresh_60_med","thresh_65_med","thresh_70_med","thresh_75_med"
"Cooler Area","historical","Historical",49,49,49,50,50,51,51,52,52,52,53,53
"Cooler Area","rcp45","2040's",63,64,64,64,65,65,65,66,66,66,67,67
"Cooler Area","rcp45","2060's",68,69,69,69,69.5,70,70,70,71,71,71,72
"Cooler Area","rcp45","2080's",71,71,72,72,72,73,73,73,74,74,74,75
"Cooler Area","rcp85","2040's",66,67,67,67,68,68,68,69,69,69,70,70
"Cooler Area","rcp85","2060's",77,77,78,78,78,79,79,79,80,80,80,81
"Cooler Area","rcp85","2080's",86,87,87,87,88,88,88,89,89,90,90,90
"Warmer Area","historical","Historical",60,61,61,61,62,62,62,63,63,64,64,64
"Warmer Area","rcp45","2040's",75,76,76,76,77,77,78,78,78,79,79,80
"Warmer Area","rcp45","2060's",81,81,82,82,83,83,83,84,84,84,85,85
"Warmer Area","rcp45","2080's",85,85,86,86,86,87,87,87,88,88,88,89
"Warmer Area","rcp85","2040's",79,79,80,80,80,81,81,81,82,82,82,83
"Warmer Area","rcp85","2060's",92,92,92,93,93,93,94,94,95,95,95,96
"Warmer Area","rcp85","2080's",102,102,102,103,103,104,104,104,105,105,106,106
