"","stage","generation","shape","scale","gddlow","gddhigh"
"1","Egg",1,3.506556,594.3527,0,1299.6
"2","Egg",2,7.870788,1718.354,1288.2,2379
"3","Egg",3,10.76041,2831.893,2368.2,3483
"4","Egg",4,15.43351,3915.105,3472,4559
"5","Larva",1,4.42486,742.941,213,1341
"6","Larva",2,8.498947,1864.74,1331.6,2545
"7","Larva",3,11.51428,2974.3,2533.4,3669
"8","Larva",4,16.0801,4065.202,3657.7,4655
"9","Pupa",1,1.270507,216.0254,0,831.6
"10","Pupa",2,6.387198,1353.501,824.67,2037
"11","Pupa",3,9.777329,2465.914,2025.8,3145
"12","Pupa",4,14.28125,3547.529,3133.9,4291
"13","Adult",1,2.877741,496.6747,0,1119.6
"14","Adult",2,7.458859,1623.042,1110.27,2301
"15","Adult",3,10.43142,2736.775,2289.6,3429
"16","Adult",4,15.0675,3825.025,3417.7,4571
