"","stage","generation","shape","scale","gddlow","gddhigh"
"1","Egg",1,3.506556,594.3527,0,1191.3
"2","Egg",2,7.870788,1718.354,1180.2,2271
"3","Egg",3,10.76041,2831.893,2260.2,3373
"4","Egg",4,15.43351,3915.105,3362,4451
"5","Larva",1,4.42486,742.941,213,1247
"6","Larva",2,8.498947,1864.74,1237.6,2429
"7","Larva",3,11.51428,2974.3,2417.4,3556
"8","Larva",4,16.0801,4065.202,3544.7,4554
"9","Pupa",1,1.270507,216.0254,0,762.3
"10","Pupa",2,6.387198,1353.501,755.37,1925
"11","Pupa",3,9.777329,2465.914,1913.8,3034
"12","Pupa",4,14.28125,3547.529,3022.9,4177
"13","Adult",1,2.877741,496.6747,0,1026.3
"14","Adult",2,7.458859,1623.042,1016.97,2187
"15","Adult",3,10.43142,2736.775,2175.6,3316
"16","Adult",4,15.0675,3825.025,3304.7,4457
